årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;7464
1959;6441
1960;9234
1961;10263
1962;9699
1963;9089
1964;8598
1965;12255
1966;9254
1967;10726
1968;11592
1969;10957
1970;7448
1971;8102
1972;6884
1973;6985
1974;6386
1975;6869
1976;7187
1977;6305
1978;5112
1979;6597
1980;6211
1981;6197
1982;4951
1983;4401
1984;5536
1985;5764
1986;3267
1987;4173
1988;3900
1989;3389
1990;3401
1991;4888
1992;3877
1993;3694
1994;2929
1995;2747
1996;2511
1997;2476
1998;2086
1999;2462
2000;2497
2001;2281
2002;2457
2003;2663
2004;2992
2005;2779
