årstal;antal
1959;6144
1960;6616
1961;11908
1962;13337
1963;22545
1964;13970
1965;12687
1966;14773
1967;15427
1968;9538
1969;14161
1970;12865
1971;10944
1972;12895
1973;13023
1974;10898
1975;15485
1976;9553
1977;8551
1978;8366
1979;7539
1980;10835
1981;13594
1982;13034
1983;13137
1984;11049
1985;9238
1986;9920
1987;8452
1988;12696
1989;14872
1990;12731
1991;16538
1992;11499
1993;9671
1994;13780
1995;13468
1996;7759
1997;6994
1998;7408
1999;9298
2000;9411
2001;12631
2002;10347
2003;12774
2004;13528
2005;12878
