årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5250
1956;3756
1957;4001
1958;4883
1959;3785
1960;3714
1961;4752
1962;6171
1963;5814
1964;5572
1965;5740
1966;8037
1967;7745
1968;7095
1969;7463
1970;6992
1971;5695
1972;7444
1973;7725
1974;6168
1975;626
1976;4528
1977;4289
1978;2802
1979;2430
1980;3523
1981;4870
1982;2302
1983;2098
1984;1608
1985;1200
1986;1037
1987;1467
1988;1260
1989;1256
1990;1380
1991;1512
1992;906
1993;1120
1994;1258
1995;921
1996;710
1997;1108
1998;504
1999;812
2000;503
2001;875
2002;661
2003;389
2004;405
2005;296
