årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;168
1956;176
1957;213
1958;129
1959;102
1960;125
1961;140
1962;96
1963;107
1964;108
1965;136
1966;115
1967;52
1968;107
1969;145
1970;85
1971;64
1972;104
1973;131
1974;160
1975;716
1976;177
1977;167
1978;440
1979;234
1980;198
1981;161
1982;168
1983;131
1984;165
1985;147
1986;152
1987;206
1988;167
1989;218
1990;210
1991;225
1992;214
1993;319
1994;359
1995;362
1996;475
1997;362
1998;408
1999;481
2000;354
2001;360
2002;332
2003;414
2004;399
2005;397
