årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;17458
1959;21222
1960;16550
1961;22676
1962;19230
1963;19128
1964;17825
1965;24131
1966;24443
1967;23708
1968;28965
1969;15412
1970;15592
1971;17010
1972;17308
1973;21284
1974;20063
1975;25608
1976;20795
1977;19875
1978;18858
1979;21051
1980;19558
1981;19708
1982;26228
1983;20464
1984;18273
1985;14393
1986;13172
1987;16096
1988;19306
1989;14756
1990;13719
1991;13661
1992;17612
1993;11041
1994;10396
1995;10906
1996;7753
1997;8584
1998;6468
1999;9536
2000;7219
2001;7397
2002;7882
2003;6725
2004;8133
2005;5942
