årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;81656
1956;66317
1957;87466
1958;83855
1959;121840
1960;95489
1961;128665
1962;96858
1963;136785
1964;135735
1965;128248
1966;130662
1967;151731
1968;153276
1969;141360
1970;129608
1971;128199
1972;125263
1973;131470
1974;140740
1975;151529
1976;145412
1977;155403
1978;147337
1979;138295
1980;140190
1981;133465
1982;141972
1983;149636
1984;135275
1985;167288
1986;172907
1987;133548
1988;177124
1989;189878
1990;192406
1991;156076
1992;172693
1993;187754
1994;168969
1995;187104
1996;173446
1997;151014
1998;187308
1999;189109
2000;155351
2001;163835
2002;161620
2003;172073
2004;171106
2005;171347
