årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;481
1956;449
1957;392
1958;573
1959;498
1960;363
1961;538
1962;438
1963;324
1964;446
1965;446
1966;440
1967;571
1968;432
1969;503
1970;371
1971;368
1972;467
1973;623
1974;435
1975;677
1976;677
1977;415
1978;384
1979;301
1980;43
1981;10
1982;3
1983;25
1984;34
1985;9
1986;26
1987;4
1988;22
1989;65
1990;19
1991;12
1992;5
1993;40
1994;7
1995;8
1996;129
1997;14
1998;37
1999;28
2000;94
2001;76
2002;12
2003;1
2004;7
2005;9
