årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;65721
1956;32964
1957;36505
1958;39260
1959;37016
1960;38185
1961;50541
1962;40142
1963;40225
1964;40949
1965;44065
1966;41862
1967;48743
1968;52808
1969;47733
1970;37503
1971;39013
1972;44153
1973;46661
1974;40393
1975;47660
1976;44243
1977;49664
1978;53927
1979;56471
1980;63497
1981;79976
1982;81443
1983;85223
1984;74554
1985;83278
1986;91538
1987;89736
1988;105227
1989;97291
1990;93649
1991;92970
1992;90984
1993;91641
1994;98255
1995;102450
1996;85343
1997;77967
1998;88380
1999;101339
2000;75474
2001;80890
2002;84570
2003;84867
2004;81579
2005;81162
