årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1516
1956;996
1957;1041
1958;1282
1959;982
1960;1111
1961;1347
1962;1452
1963;1202
1964;1425
1965;1455
1966;1170
1967;1727
1968;1344
1969;2191
1970;1326
1971;1277
1972;1281
1973;1472
1974;1433
1975;1549
1976;1465
1977;1741
1978;2222
1979;2238
1980;1910
1981;1939
1982;1754
1983;2231
1984;1463
1985;2387
1986;2437
1987;2864
1988;2165
1989;1819
1990;1935
1991;2070
1992;1873
1993;1547
1994;2051
1995;2398
1996;1675
1997;1663
1998;1796
1999;2592
2000;1824
2001;2300
2002;4169
2003;3569
2004;4578
2005;5276
