årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;48716
1956;47697
1957;56316
1958;52002
1959;62435
1960;57827
1961;64139
1962;54768
1963;51975
1964;51660
1965;49745
1966;49170
1967;52918
1968;48560
1969;45925
1970;38458
1971;40126
1972;39702
1973;40002
1974;40697
1975;43433
1976;41511
1977;34087
1978;33429
1979;28665
1980;30291
1981;29029
1982;29317
1983;29467
1984;27298
1985;29787
1986;31487
1987;24696
1988;27097
1989;22578
1990;21656
1991;19583
1992;22861
1993;23823
1994;18997
1995;16477
1996;12174
1997;8560
1998;9262
1999;9082
2000;8100
2001;7897
2002;7672
2003;8115
2004;8106
2005;7721
