årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;111
1956;63
1957;91
1958;193
1959;92
1960;123
1961;123
1962;126
1963;117
1964;141
1965;162
1966;155
1967;155
1968;61
1969;72
1970;28
1971;38
1972;43
1973;37
1974;34
1975;44
1976;61
1977;54
1978;71
1979;69
1980;61
1981;89
1982;91
1983;88
1984;81
1985;149
1986;91
1987;164
1988;89
1989;115
1990;88
1991;111
1992;143
1993;139
1994;143
1995;109
1996;157
1997;191
1998;164
1999;196
2000;117
2001;136
2002;143
2003;206
2004;142
2005;118
