årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;16950
1956;15075
1957;17104
1958;15411
1959;16546
1960;15287
1961;17824
1962;18258
1963;18840
1964;21838
1965;22658
1966;22156
1967;23906
1968;23006
1969;22106
1970;20473
1971;20387
1972;18556
1973;17822
1974;15886
1975;16133
1976;14759
1977;13985
1978;13323
1979;13310
1980;12828
1981;13362
1982;11573
1983;9087
1984;9102
1985;9110
1986;10093
1987;10363
1988;9188
1989;9161
1990;8948
1991;7942
1992;6953
1993;6428
1994;4515
1995;5965
1996;7523
1997;6992
1998;8218
1999;8458
2000;6471
2001;7979
2002;7731
2003;8090
2004;8215
2005;8325
