årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;19352
1956;16492
1957;16563
1958;16979
1959;17828
1960;14764
1961;15629
1962;16215
1963;16767
1964;18530
1965;20352
1966;19967
1967;23705
1968;26018
1969;32191
1970;24310
1971;21739
1972;22199
1973;22991
1974;21059
1975;22217
1976;22927
1977;23226
1978;25008
1979;22812
1980;20587
1981;23372
1982;23272
1983;17003
1984;14546
1985;13821
1986;15421
1987;13114
1988;13193
1989;13734
1990;13780
1991;11882
1992;10515
1993;9697
1994;7487
1995;10117
1996;12930
1997;12737
1998;13559
1999;16390
2000;11644
2001;14380
2002;13311
2003;15495
2004;15734
2005;14497
