årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;2
1957;0
1958;159
1959;7
1960;5
1961;29
1962;29
1963;24
1964;9
1965;3
1966;29
1967;4
1968;10
1969;21
1970;10
1971;10
1972;22
1973;22
1974;35
1975;96
1976;22
1977;45
1978;104
1979;32
1980;15
1981;24
1982;31
1983;17
1984;26
1985;12
1986;23
1987;27
1988;14
1989;12
1990;50
1991;41
1992;67
1993;43
1994;74
1995;103
1996;76
1997;58
1998;89
1999;129
2000;73
2001;67
2002;56
2003;47
2004;78
2005;53
