årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2665
1956;2621
1957;3016
1958;2703
1959;3249
1960;2575
1961;2889
1962;3156
1963;3164
1964;3019
1965;3286
1966;3138
1967;3244
1968;3452
1969;3555
1970;2868
1971;2846
1972;3065
1973;2803
1974;3315
1975;3663
1976;4087
1977;4269
1978;4383
1979;4008
1980;4335
1981;4883
1982;5121
1983;5279
1984;5574
1985;6063
1986;6079
1987;5808
1988;6519
1989;7194
1990;8270
1991;8436
1992;9024
1993;10897
1994;10421
1995;10719
1996;11912
1997;9150
1998;10392
1999;10702
2000;9944
2001;11413
2002;11436
2003;12499
2004;12069
2005;11939
