årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;18215
1956;20406
1957;19884
1958;17936
1959;17353
1960;17031
1961;12742
1962;15023
1963;13607
1964;18799
1965;20562
1966;12854
1967;17278
1968;22509
1969;21024
1970;18101
1971;16025
1972;17567
1973;17293
1974;15190
1975;14964
1976;14524
1977;12977
1978;12620
1979;12092
1980;11944
1981;12667
1982;13143
1983;10615
1984;11661
1985;10300
1986;11453
1987;12655
1988;10765
1989;10174
1990;12001
1991;13435
1992;11598
1993;11779
1994;9175
1995;9689
1996;13875
1997;10571
1998;13248
1999;15822
2000;12481
2001;14600
2002;16116
2003;15473
2004;17862
2005;17626
