årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3673
1956;3766
1957;3533
1958;3142
1959;3284
1960;2929
1961;3579
1962;3766
1963;4335
1964;4594
1965;4128
1966;4107
1967;4039
1968;4687
1969;4644
1970;4209
1971;4433
1972;4142
1973;3636
1974;3604
1975;3903
1976;3657
1977;3594
1978;3304
1979;3566
1980;3341
1981;3291
1982;2981
1983;3267
1984;3566
1985;4083
1986;3957
1987;4074
1988;4298
1989;4555
1990;4841
1991;4213
1992;4465
1993;4669
1994;3800
1995;4193
1996;4843
1997;4486
1998;4969
1999;4862
2000;3774
2001;4082
2002;3895
2003;3958
2004;4132
2005;3867
