årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;22755
1956;20776
1957;23363
1958;24963
1959;28962
1960;24270
1961;21328
1962;16150
1963;15988
1964;14176
1965;13488
1966;14009
1967;16339
1968;17825
1969;15372
1970;12818
1971;13856
1972;11664
1973;12328
1974;12474
1975;13978
1976;14616
1977;15978
1978;13314
1979;10154
1980;6413
1981;4922
1982;2865
1983;3035
1984;3452
1985;4138
1986;4664
1987;3153
1988;4212
1989;5498
1990;5014
1991;4745
1992;6322
1993;8200
1994;8170
1995;6719
1996;4791
1997;3379
1998;2698
1999;2382
2000;1729
2001;1696
2002;1741
2003;1631
2004;1004
2005;918
