årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;3110
1959;3298
1960;3993
1961;4235
1962;4268
1963;4086
1964;4275
1965;3848
1966;5376
1967;5328
1968;7180
1969;6351
1970;6873
1971;6432
1972;6768
1973;6806
1974;7798
1975;7207
1976;6473
1977;7612
1978;6493
1979;6485
1980;7514
1981;5149
1982;6156
1983;5072
1984;4589
1985;4355
1986;4275
1987;4927
1988;5941
1989;3995
1990;3848
1991;4354
1992;4327
1993;4046
1994;3656
1995;3195
1996;3157
1997;2575
1998;2972
1999;3127
2000;2687
2001;2758
2002;2894
2003;3109
2004;3191
2005;1979
