årstal;antal
1959;5023
1960;5308
1961;7811
1962;11598
1963;11283
1964;11920
1965;11740
1966;13829
1967;10110
1968;12317
1969;11804
1970;10556
1971;10067
1972;9813
1973;9930
1974;9636
1975;10597
1976;8897
1977;8111
1978;7201
1979;6640
1980;7886
1981;9704
1982;9987
1983;11110
1984;8657
1985;8512
1986;8078
1987;8334
1988;10417
1989;9493
1990;11872
1991;11001
1992;11039
1993;9716
1994;11300
1995;14869
1996;8145
1997;7909
1998;8356
1999;8021
2000;10769
2001;11142
2002;10803
2003;11557
2004;11481
2005;10343
