årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5635
1956;5080
1957;5151
1958;4787
1959;6253
1960;5651
1961;6568
1962;7029
1963;6269
1964;7747
1965;7511
1966;8160
1967;7981
1968;9976
1969;9510
1970;8863
1971;8133
1972;8348
1973;8763
1974;8000
1975;9272
1976;6392
1977;6151
1978;5549
1979;5291
1980;5590
1981;6503
1982;5379
1983;5949
1984;4798
1985;3759
1986;3910
1987;3820
1988;4204
1989;4004
1990;4431
1991;3705
1992;3292
1993;3314
1994;3915
1995;3332
1996;3326
1997;2591
1998;2690
1999;3058
2000;3051
2001;2916
2002;2623
2003;2056
2004;2108
2005;1640
