årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;13
1956;21
1957;20
1958;8
1959;20
1960;16
1961;20
1962;12
1963;31
1964;23
1965;31
1966;28
1967;13
1968;16
1969;11
1970;13
1971;14
1972;13
1973;7
1974;3
1975;9
1976;31
1977;44
1978;18
1979;31
1980;23
1981;27
1982;35
1983;39
1984;38
1985;66
1986;40
1987;83
1988;108
1989;158
1990;202
1991;271
1992;280
1993;287
1994;314
1995;231
1996;231
1997;174
1998;228
1999;270
2000;109
2001;184
2002;121
2003;201
2004;182
2005;217
