årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;612
1959;662
1960;375
1961;549
1962;275
1963;454
1964;429
1965;372
1966;639
1967;774
1968;2217
1969;625
1970;517
1971;524
1972;341
1973;1097
1974;410
1975;452
1976;538
1977;383
1978;429
1979;253
1980;488
1981;225
1982;361
1983;383
1984;228
1985;243
1986;272
1987;164
1988;521
1989;388
1990;235
1991;485
1992;503
1993;406
1994;347
1995;370
1996;302
1997;356
1998;242
1999;265
2000;305
2001;380
2002;305
2003;282
2004;90
2005;145
