årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;12077
1956;11902
1957;14779
1958;14822
1959;19365
1960;16083
1961;16908
1962;12681
1963;11064
1964;14235
1965;14618
1966;15337
1967;17395
1968;19384
1969;17707
1970;17098
1971;18387
1972;17753
1973;18630
1974;22083
1975;22233
1976;19898
1977;20690
1978;20335
1979;17441
1980;18561
1981;16089
1982;16704
1983;14385
1984;14912
1985;17440
1986;18516
1987;12611
1988;18325
1989;21663
1990;22747
1991;18955
1992;25300
1993;31122
1994;25061
1995;21577
1996;18268
1997;13280
1998;14691
1999;15870
2000;12179
2001;12774
2002;14191
2003;13741
2004;14673
2005;13154
