årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;411
1956;276
1957;307
1958;401
1959;454
1960;356
1961;385
1962;476
1963;347
1964;508
1965;517
1966;607
1967;578
1968;673
1969;619
1970;484
1971;513
1972;580
1973;699
1974;597
1975;668
1976;835
1977;566
1978;656
1979;467
1980;131
1981;81
1982;122
1983;190
1984;161
1985;134
1986;120
1987;131
1988;124
1989;133
1990;117
1991;105
1992;160
1993;135
1994;118
1995;112
1996;129
1997;131
1998;155
1999;157
2000;257
2001;277
2002;160
2003;171
2004;95
2005;50
