årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;44383
1956;25462
1957;28542
1958;30679
1959;33608
1960;24903
1961;31812
1962;32599
1963;32858
1964;29766
1965;30160
1966;29687
1967;33431
1968;36632
1969;17976
1970;23176
1971;23175
1972;23138
1973;25475
1974;18141
1975;20906
1976;21306
1977;21817
1978;24259
1979;23022
1980;25360
1981;29757
1982;27323
1983;30380
1984;27345
1985;29366
1986;31413
1987;29389
1988;34374
1989;34131
1990;33561
1991;30618
1992;32721
1993;35538
1994;33279
1995;35617
1996;26551
1997;23657
1998;26649
1999;29745
2000;24617
2001;24760
2002;26373
2003;25239
2004;23095
2005;20584
