årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;828
1956;628
1957;654
1958;630
1959;922
1960;581
1961;663
1962;559
1963;643
1964;690
1965;761
1966;711
1967;546
1968;525
1969;803
1970;629
1971;375
1972;367
1973;464
1974;332
1975;382
1976;603
1977;493
1978;401
1979;279
1980;533
1981;499
1982;557
1983;495
1984;505
1985;447
1986;622
1987;508
1988;864
1989;956
1990;844
1991;883
1992;1041
1993;1090
1994;883
1995;938
1996;1084
1997;1145
1998;1587
1999;2120
2000;2958
2001;3142
2002;3178
2003;3542
2004;3777
2005;3803
