årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;28097
1956;28059
1957;32163
1958;31059
1959;33458
1960;30463
1961;25804
1962;27339
1963;25914
1964;23529
1965;23693
1966;23960
1967;24347
1968;25808
1969;21070
1970;16889
1971;17131
1972;14547
1973;15177
1974;16210
1975;16423
1976;16533
1977;15716
1978;14977
1979;12133
1980;12420
1981;12110
1982;10530
1983;10478
1984;11066
1985;10827
1986;10154
1987;8349
1988;8254
1989;8698
1990;8015
1991;7987
1992;9415
1993;12801
1994;11382
1995;10723
1996;9703
1997;6748
1998;7571
1999;7038
2000;5349
2001;4506
2002;3979
2003;3844
2004;3575
2005;2595
