årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;100
1956;60
1957;144
1958;71
1959;67
1960;90
1961;90
1962;92
1963;86
1964;103
1965;119
1966;114
1967;113
1968;115
1969;180
1970;160
1971;175
1972;171
1973;194
1974;261
1975;337
1976;343
1977;438
1978;544
1979;544
1980;604
1981;453
1982;509
1983;484
1984;407
1985;505
1986;427
1987;458
1988;309
1989;329
1990;298
1991;313
1992;330
1993;318
1994;302
1995;260
1996;320
1997;256
1998;398
1999;414
2000;348
2001;356
2002;363
2003;329
2004;350
2005;254
