årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;19272
1956;16927
1957;18785
1958;17601
1959;19126
1960;18074
1961;18817
1962;19632
1963;21385
1964;23619
1965;24247
1966;24144
1967;25949
1968;26708
1969;24630
1970;22126
1971;22020
1972;20872
1973;19535
1974;17062
1975;15974
1976;14351
1977;13239
1978;12189
1979;11972
1980;10622
1981;10021
1982;8718
1983;6192
1984;5793
1985;5434
1986;5245
1987;5091
1988;5375
1989;5372
1990;4841
1991;4499
1992;4045
1993;3404
1994;2282
1995;2697
1996;2856
1997;2164
1998;2629
1999;2706
2000;2167
2001;2064
2002;2074
2003;2004
2004;2043
2005;1815
