årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;15712
1956;14050
1957;14475
1958;13497
1959;16374
1960;13901
1961;14727
1962;15350
1963;17149
1964;18455
1965;20758
1966;22009
1967;23244
1968;28773
1969;30533
1970;24632
1971;26399
1972;26174
1973;30834
1974;25944
1975;28673
1976;24628
1977;21011
1978;22620
1979;22254
1980;20443
1981;21168
1982;16318
1983;12247
1984;11221
1985;10646
1986;9885
1987;8745
1988;8613
1989;8903
1990;8915
1991;7414
1992;7088
1993;6568
1994;4148
1995;5607
1996;5361
1997;4538
1998;4979
1999;6754
2000;4579
2001;4553
2002;4802
2003;5900
2004;5111
2005;5269
