årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;26
1956;22
1957;19
1958;22
1959;25
1960;45
1961;17
1962;11
1963;38
1964;6
1965;6
1966;17
1967;14
1968;26
1969;18
1970;5
1971;10
1972;33
1973;12
1974;11
1975;27
1976;19
1977;41
1978;51
1979;27
1980;32
1981;83
1982;36
1983;76
1984;54
1985;50
1986;66
1987;69
1988;75
1989;111
1990;126
1991;134
1992;120
1993;187
1994;185
1995;169
1996;270
1997;210
1998;263
1999;261
2000;224
2001;233
2002;205
2003;215
2004;326
2005;366
