årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7100
1956;5898
1957;6564
1958;6756
1959;6277
1960;6139
1961;6822
1962;7637
1963;8481
1964;8166
1965;10093
1966;10787
1967;12943
1968;15787
1969;17077
1970;14928
1971;15551
1972;14627
1973;16979
1974;14618
1975;16512
1976;15941
1977;14860
1978;13505
1979;13218
1980;13234
1981;11667
1982;10882
1983;10430
1984;9453
1985;8930
1986;7763
1987;6916
1988;7980
1989;7670
1990;6895
1991;6122
1992;5956
1993;5369
1994;2872
1995;3103
1996;3250
1997;2601
1998;2663
1999;3311
2000;2497
2001;2049
2002;3031
2003;2893
2004;2075
2005;1846
