årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1368
1956;1323
1957;1384
1958;1242
1959;1345
1960;1301
1961;1512
1962;1457
1963;1641
1964;1621
1965;1969
1966;1710
1967;1748
1968;2132
1969;1917
1970;1604
1971;1595
1972;1598
1973;1598
1974;1651
1975;1609
1976;1696
1977;1609
1978;1580
1979;1493
1980;1786
1981;1723
1982;1900
1983;2159
1984;2194
1985;2500
1986;2558
1987;2581
1988;2529
1989;3110
1990;3134
1991;3317
1992;4070
1993;5098
1994;5173
1995;5512
1996;5883
1997;4974
1998;5989
1999;6407
2000;5826
2001;6170
2002;6369
2003;7314
2004;7458
2005;7677
