årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2996
1956;3324
1957;3800
1958;3318
1959;4554
1960;2153
1961;4368
1962;4058
1963;4073
1964;3600
1965;5407
1966;5085
1967;5571
1968;9345
1969;9410
1970;6685
1971;6282
1972;6957
1973;7394
1974;7269
1975;7764
1976;7264
1977;7512
1978;8700
1979;7457
1980;7750
1981;7460
1982;7270
1983;6287
1984;6869
1985;7027
1986;6037
1987;8669
1988;6584
1989;6675
1990;7129
1991;6861
1992;5971
1993;8009
1994;6919
1995;5801
1996;8666
1997;7416
1998;11753
1999;9842
2000;10040
2001;9669
2002;13299
2003;11714
2004;11777
2005;11879
