årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4812
1956;4954
1957;4915
1958;5280
1959;5732
1960;5432
1961;6236
1962;6549
1963;6950
1964;6958
1965;7436
1966;7265
1967;7595
1968;8592
1969;7524
1970;6391
1971;6621
1972;6392
1973;5738
1974;5367
1975;5835
1976;5333
1977;5038
1978;4584
1979;5312
1980;5035
1981;4783
1982;5164
1983;4978
1984;4901
1985;5664
1986;5414
1987;5271
1988;5473
1989;6020
1990;6163
1991;4526
1992;3363
1993;2935
1994;2707
1995;2958
1996;3428
1997;2816
1998;3386
1999;3449
2000;3028
2001;3237
2002;3266
2003;3701
2004;3284
2005;3161
