årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7
1956;7
1957;1
1958;2
1959;20
1960;17
1961;31
1962;11
1963;8
1964;19
1965;31
1966;22
1967;18
1968;7
1969;7
1970;2
1971;2
1972;5
1973;8
1974;7
1975;5
1976;4
1977;7
1978;11
1979;8
1980;11
1981;16
1982;6
1983;7
1984;15
1985;12
1986;18
1987;15
1988;17
1989;21
1990;19
1991;26
1992;24
1993;31
1994;32
1995;34
1996;45
1997;48
1998;54
1999;28
2000;16
2001;40
2002;25
2003;45
2004;18
2005;50
