årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;955
1956;909
1957;880
1958;1035
1959;1590
1960;1276
1961;2262
1962;1844
1963;1748
1964;1256
1965;1066
1966;969
1967;1263
1968;1206
1969;1825
1970;1365
1971;1115
1972;957
1973;1779
1974;1211
1975;149
1976;1208
1977;2535
1978;2893
1979;1656
1980;1557
1981;1316
1982;1610
1983;2032
1984;2069
1985;1472
1986;2214
1987;2107
1988;1608
1989;2554
1990;2656
1991;2258
1992;2605
1993;2950
1994;2631
1995;2636
1996;2796
1997;1631
1998;2056
1999;2174
2000;3457
2001;3484
2002;3242
2003;2170
2004;3193
2005;3714
