Year,Kommune,Species,Køn,Type,Total
2007,Lyngby-Taarbæk,Dådyr,Han,Dåhjort,1.0
2007,Hillerød,Dådyr,Hun,Då,1.0
2007,Halsnæs,Dådyr,Hun,Då,1.0
2007,Halsnæs,Dådyr,Han,Kalv,2.0
2007,Halsnæs,Dådyr,Hun,Kalv,2.0
2007,Gribskov,Dådyr,Han,Dåhjort,2.0
2007,Gribskov,Dådyr,Han,Dåhjort,1.0
2007,Gribskov,Dådyr,Hun,Då,1.0
2007,Gribskov,Dådyr,Han,Kalv,1.0
2007,Gribskov,Dådyr,Hun,Kalv,1.0
2007,Faxe,Dådyr,Han,Dåhjort,1.0
2007,Faxe,Dådyr,Han,Dåhjort,1.0
2007,Faxe,Dådyr,Hun,Då,2.0
2007,Faxe,Dådyr,Hun,Då,1.0
2007,Faxe,Dådyr,Hun,Kalv,1.0
2007,Ringsted,Dådyr,Hun,Då,1.0
2007,Ringsted,Dådyr,Han,Kalv,1.0
2007,Slagelse,Dådyr,Han,Dåhjort,1.0
2007,Slagelse,Dådyr,Han,Dåhjort,2.0
2007,Slagelse,Dådyr,Hun,Då,1.0
2007,Slagelse,Dådyr,Hun,Då,1.0
2007,Slagelse,Dådyr,Han,Kalv,2.0
2007,Slagelse,Dådyr,Hun,Kalv,4.0
2007,Sorø,Dådyr,Han,Dåhjort,2.0
2007,Sorø,Dådyr,Han,Dåhjort,1.0
2007,Sorø,Dådyr,Hun,Kalv,2.0
2007,Lejre,Dådyr,Han,Dåhjort,1.0
2007,Lejre,Dådyr,Hun,Kalv,1.0
2007,Lolland,Dådyr,Han,Dåhjort,4.0
2007,Lolland,Dådyr,Han,Dåhjort,2.0
2007,Lolland,Dådyr,Hun,Då,3.0
2007,Lolland,Dådyr,Han,Kalv,4.0
2007,Lolland,Dådyr,Hun,Kalv,2.0
2007,Næstved,Dådyr,Han,Dåhjort,1.0
2007,Næstved,Dådyr,Hun,Då,1.0
2007,Guldborgsund,Dådyr,Han,Dåhjort,4.0
2007,Guldborgsund,Dådyr,Han,Dåhjort,2.0
2007,Guldborgsund,Dådyr,Hun,Då,2.0
2007,Guldborgsund,Dådyr,Hun,Då,1.0
2007,Guldborgsund,Dådyr,Hun,Kalv,1.0
2007,Bornholm,Dådyr,Han,Dåhjort,1.0
2007,Middelfart,Dådyr,Hun,Kalv,1.0
2007,Faaborg-Midtfyn,Dådyr,Han,Dåhjort,1.0
2007,Faaborg-Midtfyn,Dådyr,Hun,Då,1.0
2007,Faaborg-Midtfyn,Dådyr,Hun,Kalv,1.0
2007,Kerteminde,Dådyr,Han,Dåhjort,3.0
2007,Kerteminde,Dådyr,Han,Dåhjort,1.0
2007,Kerteminde,Dådyr,Han,Kalv,1.0
2007,Nyborg,Dådyr,Han,Dåhjort,1.0
2007,Nyborg,Dådyr,Han,Kalv,1.0
2007,Nyborg,Dådyr,Hun,Kalv,1.0
2007,Svendborg,Dådyr,Han,Dåhjort,1.0
2007,Nordfyn,Dådyr,Hun,Då,1.0
2007,Langeland,Dådyr,Han,Dåhjort,4.0
2007,Langeland,Dådyr,Hun,Då,1.0
2007,Langeland,Dådyr,Han,Kalv,2.0
2007,Langeland,Dådyr,Hun,Kalv,2.0
2007,Aabenraa,Dådyr,Han,Dåhjort,1.0
2007,Aabenraa,Dådyr,Hun,Då,1.0
2007,Aabenraa,Dådyr,Han,Kalv,1.0
2007,Aabenraa,Dådyr,Hun,Kalv,1.0
2007,Herning,Dådyr,Han,Kalv,1.0
2007,Syddjurs,Dådyr,Han,Dåhjort,2.0
2007,Syddjurs,Dådyr,Han,Kalv,1.0
2007,Norddjurs,Dådyr,Han,Dåhjort,1.0
2007,Norddjurs,Dådyr,Hun,Då,2.0
2007,Norddjurs,Dådyr,Hun,Då,1.0
2007,Hedensted,Dådyr,Hun,Då,1.0
2007,Hedensted,Dådyr,Han,Kalv,1.0
2007,Skive,Dådyr,Han,Dåhjort,2.0
2007,Viborg,Dådyr,Hun,Då,3.0
2007,Viborg,Dådyr,Hun,Kalv,1.0
2007,Frederikshavn,Dådyr,Han,Dåhjort,1.0
2007,Frederikshavn,Dådyr,Hun,Då,1.0
2007,Frederikshavn,Dådyr,Hun,Kalv,1.0
2007,Vesthimmerland,Dådyr,Han,Dåhjort,2.0
2007,Vesthimmerland,Dådyr,Hun,Då,1.0
2007,Vesthimmerland,Dådyr,Han,Kalv,1.0
2007,Vesthimmerland,Dådyr,Hun,Kalv,1.0
2007,Rebild,Dådyr,Hun,Då,1.0
2007,Rebild,Dådyr,Hun,Kalv,1.0
2007,Hjørring,Dådyr,Han,Kalv,1.0
2007,Hjørring,Dådyr,Hun,Kalv,1.0
2008,Tårnby,Dådyr,Han,Dåhjort,2.0
2008,Tårnby,Dådyr,Han,Dåhjort,1.0
2008,Hillerød,Dådyr,Han,Dåhjort,1.0
2008,Hillerød,Dådyr,Han,Dåhjort,2.0
2008,Hillerød,Dådyr,Hun,Då,1.0
2008,Rudersdal,Dådyr,Han,Kalv,3.0
2008,Gribskov,Dådyr,Han,Dåhjort,2.0
2008,Gribskov,Dådyr,Han,Dåhjort,1.0
2008,Gribskov,Dådyr,Hun,Då,8.0
2008,Gribskov,Dådyr,Hun,Då,1.0
2008,Gribskov,Dådyr,Han,Kalv,1.0
2008,Holbæk,Dådyr,Hun,Kalv,1.0
2008,Faxe,Dådyr,Han,Dåhjort,2.0
2008,Faxe,Dådyr,Hun,Då,1.0
2008,Faxe,Dådyr,Han,Kalv,1.0
