Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Syddjurs";Dådyr;Dåhjort;2+ år;Han;3;10;3;6;3
2019/2020;"Syddjurs";Dådyr;Dåhjort;1 år;Han;1;2;5;4;1
2019/2020;"Syddjurs";Dådyr;Dåhjort;;Han;1;3;2;2;3
2019/2020;"Syddjurs";Dådyr;Då;2+ år;Hun;0;2;4;4;6
2019/2020;"Syddjurs";Dådyr;Då;1 år;Hun;0;0;3;4;1
2019/2020;"Syddjurs";Dådyr;Då;;Hun;0;2;3;1;4
2019/2020;"Syddjurs";Dådyr;Kalv;Under 1 år;Han;0;1;1;3;1
2019/2020;"Syddjurs";Dådyr;Kalv;Under 1 år;Hun;0;3;2;5;2
2019/2020;"Syddjurs";Dådyr;Kalv;Under 1 år;;0;2;2;2;3
2019/2020;"Syddjurs";Dådyr;Ikke angivet;;Hun;0;0;2;0;0
