Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Silkeborg";Rådyr;Råbuk;2+ år;Han;161;57;20;14;12;6;5
2019/2020;"Silkeborg";Rådyr;Råbuk;1 år;Han;33;15;4;8;11;3;3
2019/2020;"Silkeborg";Rådyr;Råbuk;;Han;110;38;14;12;13;5;4
2019/2020;"Silkeborg";Rådyr;Rå;2+ år;Hun;0;0;0;23;35;22;16
2019/2020;"Silkeborg";Rådyr;Rå;1 år;Hun;0;1;0;9;11;11;11
2019/2020;"Silkeborg";Rådyr;Rå;;Hun;0;1;1;33;37;41;16
2019/2020;"Silkeborg";Rådyr;Lam;Under 1 år;Han;0;0;0;21;20;14;7
2019/2020;"Silkeborg";Rådyr;Lam;Under 1 år;Hun;0;0;0;30;28;20;12
2019/2020;"Silkeborg";Rådyr;Lam;Under 1 år;;1;0;0;29;34;18;9
2019/2020;"Silkeborg";Rådyr;Ikke angivet;;Han;1;0;0;0;0;0;0
