Year,Kommune,Species,Group,Taken game,Taken game group
2006,Aabenraa,Agerhøne,Hønsefugle,731,3658
2006,Aabenraa,Fasan,Hønsefugle,2927,3658
2006,Aabenraa,Andre dykænder,Andefugle,223,8461
2006,Aabenraa,Andre svømmeænder,Andefugle,542,8461
2006,Aabenraa,Atlingand,Andefugle,1,8461
2006,Aabenraa,Bjergand,Andefugle,3,8461
2006,Aabenraa,Ederfugl,Andefugle,866,8461
2006,Aabenraa,Fløjlsand,Andefugle,12,8461
2006,Aabenraa,Gråand,Andefugle,6066,8461
2006,Aabenraa,Havlit,Andefugle,10,8461
2006,Aabenraa,Hvinand,Andefugle,74,8461
2006,Aabenraa,Knarand,Andefugle,5,8461
2006,Aabenraa,Krikand,Andefugle,329,8461
2006,Aabenraa,Pibeand,Andefugle,171,8461
2006,Aabenraa,Skeand,Andefugle,8,8461
2006,Aabenraa,Sortand,Andefugle,40,8461
2006,Aabenraa,Spidsand,Andefugle,27,8461
2006,Aabenraa,Stor skallesluger,Andefugle,5,8461
2006,Aabenraa,Taffeland,Andefugle,6,8461
2006,Aabenraa,Toppet skallesluger,Andefugle,10,8461
2006,Aabenraa,Troldand,Andefugle,63,8461
2006,Aabenraa,Blisgås,Gæs,6,316
2006,Aabenraa,Canadagås,Gæs,8,316
2006,Aabenraa,Grågås,Gæs,106,316
2006,Aabenraa,Gås,Gæs,158,316
2006,Aabenraa,Kortnæbbet gås,Gæs,37,316
2006,Aabenraa,Sædgås,Gæs,1,316
2006,Aabenraa,Blishøne,Vadefugle,49,956
2006,Aabenraa,Dobbeltbekkasin,Vadefugle,182,956
2006,Aabenraa,Skovsneppe,Vadefugle,725,956
2006,Aabenraa,Dådyr,Hovdyr,48,2194
2006,Aabenraa,Krondyr,Hovdyr,43,2194
2006,Aabenraa,Rådyr,Hovdyr,2103,2194
2006,Aabenraa,Sika,Hovdyr,0,2194
2006,Aabenraa,Hare,Støttetandede,868,1052
2006,Aabenraa,Kanin,Støttetandede,184,1052
2006,Aabenraa,Husmår,Rovdyr,33,863
2006,Aabenraa,Ilder,Rovdyr,7,863
2006,Aabenraa,Ræv,Rovdyr,823,863
2006,Aabenraa,Husskade,Kragefugle,119,810
2006,Aabenraa,Krage,Kragefugle,541,810
2006,Aabenraa,Råge,Kragefugle,140,810
2006,Aabenraa,Skarv,Kragefugle,10,810
2006,Aabenraa,Måge,Måger,296,592
2006,Aabenraa,Sildemåge,Måger,3,592
2006,Aabenraa,Svartbag,Måger,73,592
2006,Aabenraa,Sølvmåge,Måger,220,592
2006,Aabenraa,Ringdue,Duer,1541,1562
2006,Aabenraa,Tyrkerdue,Duer,21,1562
2006,Aalborg,Agerhøne,Hønsefugle,760,13063
2006,Aalborg,Fasan,Hønsefugle,12303,13063
2006,Aalborg,Andre dykænder,Andefugle,1910,16912
2006,Aalborg,Andre svømmeænder,Andefugle,3209,16912
2006,Aalborg,Atlingand,Andefugle,3,16912
2006,Aalborg,Bjergand,Andefugle,22,16912
2006,Aalborg,Ederfugl,Andefugle,1443,16912
2006,Aalborg,Fløjlsand,Andefugle,103,16912
2006,Aalborg,Gråand,Andefugle,5230,16912
2006,Aalborg,Havlit,Andefugle,85,16912
2006,Aalborg,Hvinand,Andefugle,633,16912
2006,Aalborg,Knarand,Andefugle,30,16912
2006,Aalborg,Krikand,Andefugle,1949,16912
2006,Aalborg,Pibeand,Andefugle,1014,16912
2006,Aalborg,Skeand,Andefugle,50,16912
2006,Aalborg,Sortand,Andefugle,345,16912
2006,Aalborg,Spidsand,Andefugle,163,16912
2006,Aalborg,Stor skallesluger,Andefugle,45,16912
2006,Aalborg,Taffeland,Andefugle,48,16912
2006,Aalborg,Toppet skallesluger,Andefugle,89,16912
2006,Aalborg,Troldand,Andefugle,541,16912
2006,Aalborg,Blisgås,Gæs,18,998
2006,Aalborg,Canadagås,Gæs,25,998
2006,Aalborg,Grågås,Gæs,335,998
2006,Aalborg,Gås,Gæs,499,998
2006,Aalborg,Kortnæbbet gås,Gæs,117,998
2006,Aalborg,Sædgås,Gæs,4,998
2006,Aalborg,Blishøne,Vadefugle,100,1499
2006,Aalborg,Dobbeltbekkasin,Vadefugle,501,1499
2006,Aalborg,Skovsneppe,Vadefugle,898,1499
2006,Aalborg,Dådyr,Hovdyr,22,2584
2006,Aalborg,Krondyr,Hovdyr,71,2584
2006,Aalborg,Rådyr,Hovdyr,2491,2584
2006,Aalborg,Sika,Hovdyr,0,2584
2006,Aalborg,Hare,Støttetandede,929,929
2006,Aalborg,Kanin,Støttetandede,0,929
2006,Aalborg,Husmår,Rovdyr,83,871
2006,Aalborg,Ilder,Rovdyr,19,871
2006,Aalborg,Ræv,Rovdyr,769,871
2006,Aalborg,Husskade,Kragefugle,889,5983
2006,Aalborg,Krage,Kragefugle,1983,5983
2006,Aalborg,Råge,Kragefugle,3062,5983
2006,Aalborg,Skarv,Kragefugle,49,5983
2006,Aalborg,Måge,Måger,664,1328
2006,Aalborg,Sildemåge,Måger,7,1328
2006,Aalborg,Svartbag,Måger,163,1328
2006,Aalborg,Sølvmåge,Måger,494,1328
2006,Aalborg,Ringdue,Duer,2730,2791
2006,Aalborg,Tyrkerdue,Duer,61,2791
2006,Aarhus,Agerhøne,Hønsefugle,117,5571
2006,Aarhus,Fasan,Hønsefugle,5454,5571
2006,Aarhus,Andre dykænder,Andefugle,692,11801
2006,Aarhus,Andre svømmeænder,Andefugle,783,11801
2006,Aarhus,Atlingand,Andefugle,1,11801
2006,Aarhus,Bjergand,Andefugle,8,11801
2006,Aarhus,Ederfugl,Andefugle,2716,11801
2006,Aarhus,Fløjlsand,Andefugle,37,11801
2006,Aarhus,Gråand,Andefugle,6135,11801
2006,Aarhus,Havlit,Andefugle,31,11801
2006,Aarhus,Hvinand,Andefugle,229,11801
2006,Aarhus,Knarand,Andefugle,7,11801
2006,Aarhus,Krikand,Andefugle,476,11801
2006,Aarhus,Pibeand,Andefugle,248,11801
2006,Aarhus,Skeand,Andefugle,12,11801
